Code,Code (terminaison),DES,Début du nom,Objet,Date de reconnaissance,Dernière modif statuts,Catégorie,Adresse,Adresse.Adr1,Adresse.Adr2,Code Postal,Ville
38.000.1726,1726,SOCIETE PROTECTRICE DES ANIMAUX DU DAUPHINE (SPAD),,Recueillir et de secourir les animaux errants abandonnés ou malades.,24/02/1972,30/05/1984,24000 environnement,SIEGE,BP 2452,,38034,GRENOBLE CEDEX 2
75.000.1727,1727,ANCIENS BARBISTES,ASSOCIATION AMICALE DES,"Établir entre les anciens élèves du collège Sainte Barbe un centre commun de relations amicales et  venir en aide aux camarades malheureux, qu'ils soient ou non de l'association.",24/01/1880,12/03/1964,15000 éducation formation,SIEGE,"4, rue des arènes",,75005,PARIS
75.000.1728,1728,INITIADROIT,ASSOCIATION,Promouvoir l'initiation au droit des jeunes au travers d'interventions bénévoles d'avocats dans les établissements scolaires,20/09/2011,,04000 justice,SIEGE,"11, place Dauphine",,75008,PARIS
76.000.1730,1730,SOCIETE CENTRALE D'HORTICULTURE DE LA SEINE MARITIME - LES AMIS DES FLEURS,,"Protéger les cultures horticoles dans les champs, dans les jardins pépiniers et serres ;  propager les bonnes méthodes.",11/08/1853,18/11/2008,23000 intérêts économiques,SIEGE,Hôtel des sociétés savantes,"190, rue Beauvoisine",76064,ROUEN
76.000.1731,1731,SOCIETE D'HORTICULTURE ET DE BOTANIQUE DE L'ARRONDISSEMENT DU HAVRE,,Propagation du goût de l'horticulture et de la botanique.,08/01/1891,,23000 intérêts économiques,SIEGE,"56, rue Anatole France",,76000,LE HAVRE
54.000.1732,1732,ENFANTS BLEUS ET AUX INVALIDES CARDIAQUES,FONDS LORRAIN D'AIDE MEDICALE ET SOCIALE AUX,Venir en aide aux personnes atteintes de malformations congénitales plus particulièrement cardiaques. Cette association semble avoir cessé toute activité.,09/12/1963,,17000 santé,SIEGE,"3, rue Maurice barrès",,54000,NANCY
75.000.1733,1733,CENTRES MEDICO-PSYCHO-PEDAGOGIQUES (FDCMPP),ASSOCIATION DES,"- assurer la défense des intérêts matériels et moraux des Centres Médico-Psycho-Pédagogiques (CMPP) et représenter ses adhérents auprès des pouvoirs publics et des organismes financeurs,
- inciter à la création et au développement de nouveaux CMPP et antennes, pour appliquer le principe d'égalité d'accès à des soins de qualité équivalente sur l'ensemble du territoire national,
- promouvoir la recherche et la réflexion sur les pratiques thérapeutiques et sociales, et d'en tirer les conséquences en termes d'adaptation de nos dispositifs,
- organiser et assurer la formation et le perfectionnement professionnel au moyen de stages, de journées d'étude, de colloques, de séminaires, de publications.",23/12/1963,21/12/2015,17000 santé,SIEGE,"36-40, rue de Romainville",,75019,PARIS
33.000.1734,1734,COMITE DE LIAISON DES ASSOCIATIONS HISTORIQUES ET ARCHEOLOGIQUES ET DE SAUVEGARDE DU PATRIMOINE DE L'ENTRE-DEUX-MERS,,"L'association dénommée ""COMITE DE LIAISON DES ASSOCIATIONS HISTORIQUES ET ARCHEOLOGIQUES ET DE SAUVEGARDE DU PATRIMOINE DE L'ENTRE-DEUX-MERS"" dite le C.L.E.M. a pour but la pérennisation du colloque ""L'Entre-Deux-Mers et son Identité"" et le soutien des projets avalisés par lui ainsi que, concernant le patrimoine, la sauvegarde, la sensibilisation, la valorisation, la transmission, la diffusion des connaissances et la recherche.",03/07/2007,,10000 préservation patrimoine,SIEGE,"1, Le Bourg",,33420,CAMIAC-ET-SAINT-DENIS
54.000.1735,01735,"ASSOCIATION DEPARTEMENTALE DES AMIS ET PARENTS D’ENFANTS INADAPTES MENTAUX DE MEURTHE-ET-MOSELLE», DITE «AEIM-ADAPEI 54»",ASSOCIATION ADULTES ENFANTS INADAPTES MENTAUX,"Œuvrer afin que toute personne handicapée intellectuelle ait une vie digne et citoyenne, de défendre leurs droits, intérêts moraux, patrimoniaux et financiers, de permettre l’accueil au sein d’établissements et services spécialisés des personnes en situation de handicap mental afin de leur assurer l’éducation, et d’assurer la formation professionnelle, la mise au travail et l’hébergement.",31/12/1963,15/04/2016,18000 services medico-sociaux,SIEGE,"6, allée de Saint-Cloud",CS 90154,54602,VILLERS-LES-NANCY CEDEX
17.000.1736,1736,ECOLE D'ENSEIGNEMENT TECHNIQUE DE L'ARMEE DE L'AIR,ASSOCIATION DES A.E. DE L',Maintenir et développer entre ses membres les liens de camaraderie et de solidarité qui se sont créés à l'école ou en unités.,20/11/1972,,"38000 armée, anc combattants",SIEGE,A.E.T.A. - E.E.T.A.A. 722,,17136,SAINTES-AIR
75.000.1737,1737,ŒUVRE LOUIS CONLOMBANT,,"- procurer aux enfants d'âge scolaire des vacances salutaires en placement familial sélectionné ;
- organiser, surveiller et animer ces séjours ;
- accueillir dans ses locaux tout groupe d'enfants ou adultes désirant passer un séjour de vacances à la montagne.",11/07/1929,25/01/2016,09000 action socioculturelle,SIEGE,"132, rue du Faubourg Saint-Denis",,75010,PARIS
75.000.1738,1738,ENFANTS D'ASIE,,"Association de parrainage d'enfants au Cambodge, Laos, Philippines, Vietnam",10/12/2009,,20000 caritatives humanit. dev,SIEGE,,,75OO6,PARIS
54.000.1739,01739,SOCIETE FRANCAISE DE SANTE PUBLIQUE,,"Elle a pour objet toutes les questions se rapportant à la santé publique.
À caractère scientifique et professionnel, la Société est ouverte à toutes les personnes physiques et morales qui, par leurs titres, leurs travaux ou leur compétence spéciale, sont capables d’apporter un concours efficace à l’étude de la santé publique et à ses applications.
Elle a pour but notamment :
- d’encourager et de faciliter les recherches et les travaux relatifs à la santé publique,
- de faire périodiquement le point des connaissances acquises dans ces domaines, de contribuer à leur diffusion et de veiller à leur mise en œuvre tant au niveau local, que national ou international,
- de favoriser et de contribuer au débat public en apportant un éclairage basé sur les connaissances scientifiques, les expériences, les savoir-faire et l’expérience professionnelle de ses membres,
- de contribuer au développement professionnel continu des intervenants en santé publique, qui comprend la formation continue et l'analyse des pratiques professionnelles.",08/03/1900,25/05/2016,17000 santé,SIEGE,"1, rue de la forêt",,54520,LAXOU
75.000.1741,1741,SOCIETE DE LINGUISTIQUE DE PARIS,,L'étude des langues et du langage.,30/03/1876,04/05/1964,08 Culture et sciences,SIEGE,"19, rue de la sorbonne",,75014,PARIS
92.000.1742,1742,COMITE NATIONAL DE L'ORGANISATION FRANCAISE,,"Favoriser recherche et développement des méthodes de management à tous les niveaux de responsabilités, comme facteur essentiel du progrès économique et social.",04/05/1964,22/10/1987,23000 intérêts économiques,SIEGE,"10, rue Jean Jaurès",,92807,LE LITWIN
35.000.1743,1743,LIGUE DE L'ENSEIGNEMENT-FEDERATION  DES ASSOCIATIONS D'ILLE ET VILAINE,FEDERATION  DES ASSOCIATIONS LAIQUES D'ILLE ET VILAINE,Favoriser la création et le développement des associations laïques du département qui veulent promouvoir l'éducation populaire sous toutes ses formes.,04/05/1964,31/01/1992,15000 éducation formation,SIEGE,"45, rue du Capitaine Maignan",,35000,RENNES
92.000.1744,1744,ECOLE CENTRALE DES ARTS ET MANUFACTURES,CAISSE DE SECOURS DES ELEVES À L',"Venir en aide pendant leurs études à l'école, aux élèves dont les ressources viennent à être insuffisantes.",18/07/1916,19/06/1975,15000 éducation formation,SIEGE,Grande voie des Vignes,,92295,CHATENAY-MALABRY
17.000.1745,1745,SOCIETE PROTECTRICE DES ANIMAUX DE SAINTES,,Améliorer par tous les moyens qui sont en son pouvoir le sort des animaux domestiques et sauvages.,25/11/1981,,24000 environnement,SIEGE,Route des Gauthiers,,17100,SAINTES
69.000.1746,1746,AMIS DE L'UNIVERSITE DE LYON,ASSOCIATION DES,"Faciliter le développement des universités de Lyon et les contacts entre universitaires et tout organisme, association collectivité ou particulier.",26/12/1922,31/03/2000,15000 éducation formation,SIEGE,"1, rue de l'Université",B.P. 0638,69239,LYON CEDEX 02
75.000.1747,1747,CORDEE DU BEL AIR,LA,Défendre les intérêts matériels et moraux des enfants des deux sexes vivant dans des conditions à la fois difficiles et délicates,26/05/1965,,18000 services medico-sociaux,SIEGE,"25, rue Victor Chevreuil",,75005,PARIS
83.000.1748,1748,LIGUE CONTRE LE CANCER,COMITE DU VAR DE LA,"Rassembler toutes les personnes morales ou physiques désireuses d'aider à la lutte contre le cancer, provoquer, favoriser & coordonner toutes les initiatives privées tendant à développer la lutte contre le cancer.",15/07/1965,18/07/1989,17000 santé,SIEGE,"55, rue du Lieutenant-Colonel Bernard",Pont du Las - B.P. 40515,83000,TOULON CEDEX
974.000.1749,1749,AIDE ET PROTECTION DE L'ENFANCE ET DE LA JEUNESSE (AAPEJ),ASSOCIATION,"Assurer à la Réunion avec l'aide des Pouvoirs publics, la protection de l'enfance inadaptée, son observation, sa formation humaine physique et morale.",07/11/1969,18/06/2007,18000 services medico-sociaux,SIEGE,"4, rue du Père Favron",,97418,PLAINE DES CAFRES
75.000.1750,1750,SOCIETE FRANCAISE D'ANESTHESIE ET DE REANIMATION (SFAR),,"L'étude, l'avancement et l'enseignement de l'Anesthésiologie, telle qu'elle est définie par l'ordre National des médecins d'anesthésie et réanimation.",15/07/1966,06/06/2002,17000 santé,SIEGE,,,75700,PARIS
54.000.1751,1751,ACADEMIE LORRAINE DES SCIENCES,,"Les progrès et la diffusion des sciences mathématiques, physiques et naturelles dans toutes leurs branches théoriques et appliquées.",26/04/1968,15/02/2002,08 Culture et sciences,SIEGE,Hôtel de la communauté urbaine de Nancy,Viaduc Kennedy,54000,NANCY
93.000.1752,1752,HORIZON CANCER,ASSOCIATION,"Aider sous toutes ses formes, dans leur vie quotidienne les personnes atteintes ou ayant été atteintes d'un cancer, ainsi que leur famille.",13/11/2006,,17000 santé,SIEGE,,,93500,MONTFERMEIL
94.000.1753,1753,AFS VIVRE SANS FRONTIERE (AFS-VSF),FEDERATION,Réaliser des échanges à caractère éducatif entre la France et tous les autres pays.,17/09/1965,17/07/2008,15000 éducation formation,SIEGE,"46, rue du Commandant Jean Duhail",,94120,FONTENAY-SOUS-BOIS
59.000.1754,1754,SOCIETE DES ARTISTES DU NORD,,"Organiser des expositions périodiques de peintures, sculptures, gravures, aquarelles, pastels et dessins ;  prêter aide et assistance à ses membres dans les occasions où cela pourrait leur être utile.",11/12/1936,12/01/1968,06000 culture,SIEGE,Palais des Beaux Arts,,59000,LILLE
75.000.1755,1755,ETUDIANTS DE PARIS,FEDERATION  DES,Assurer aux étudiants parisiens les conditions d'un libre épanouissement dans leur travail par la défense de leurs intérêts matériels et moraux et la sauvegarde des libertés et de l'indépendance.,25/10/1966,,15000 éducation formation,SIEGE,"46, rue Albert Thomas",,75010,PARIS
75.000.1756,1756,VIEUX MONTMARTRE,LE,"Recherche et la conservation des anciens monuments, demeures particulières et sites intéressants.",31/07/1967,31/07/2013,08 Culture et sciences,SIEGE,,,,PARIS
51.000.1757,1757,COLLEGE INTERNATIONAL DE CHIRURGIENS,CHAPITRE FRANCAIS DU,Resserrer et développer les contacts de toutes les branches de l'activité chirurgicale en France et dans le monde à l'occasion des grands congrès du collège international de chirurgiens. Démission du trésorier.,27/10/1967,23/10/1991,17000 santé,SIEGE,Hôpital Robert Debré,,51100,REIMS
59.000.1758,1758,COLLEGE ET DU LYCEE HENRI WALLON,ASSOCIATION DES A.E. DU,Etablir entre eux un centre commun de bonnes relations.,09/03/1894,,15000 éducation formation,SIEGE,Lycée Henri-Wallon,,59300,VALENCIENNES
59.000.1759,1759,SOCIETE INDUSTRIELLE DU NORD DE LA FRANCE,,Encourager et faire progresser l'industrie et le commerce.,12/08/1874,,23000 intérêts économiques,SIEGE,"2, place du Théâtre",BP 67,59028,LILLE CEDEX
75.000.1760,1760,ENTENTE DES GENERATIONS POUR L'EMPLOI ET L'ENTREPRISE (EGEE),,"Faire appel à des conseillers pour réaliser dans des conditions de bénévolat des missions de conseil en vue de promouvoir l'emploi, l'employabilité, la connaissance et la pérennité des entreprises et des associations",12/04/2013,,30000 aide à l'emploi,SIEGE,,,75006,PARIS
59.000.1761,1761,SOCIETE D'HORTICULTURE DU NORD DE LA FRANCE,,Faire progresser l'horticulture et venir en aide par la mutualité et les encouragements aux travailleurs horticoles.,15/04/1898,,23000 intérêts économiques,SIEGE,"14, rue Nicolas Leblanc",,59000,LILLE
28.000.1762,1762,SCLERODERMIQUES DE FRANCE,ASSOCIATION DES,"L'association a pour objet de répondre aux besoins des sclérodermiques et de leurs familles, tant dans le domaine médical, incluant la recherche médicale et scientifique, que dans celui de leurs conditions de vie.",20/01/2004,02/01/2013,17000 santé,SIEGE,2 Boulevard Lafayette,,89000,AUXERRE
58.000.1763,1763,LYCEE JULES RENARD,ASSOCIATION AMICALE DES A.E. DU,Entretenir les relations d'amitié qui se sont formées au lycée et venir en aide aux anciens élèves malheureux et à leurs veuves ou à leurs enfants.,10/05/1882,09/08/1972,15000 éducation formation,SIEGE,"11, boulevard Saint-Exupéry",,58002,NEVERS CEDEX
56.000.1764,1764,SOCIETE POLYMATHIQUE DU MORBIHAN,,"L'étude des productions naturelles du pays, de son histoire et de ses antiquités.",05/07/1877,21/06/2013,08 Culture et sciences,SIEGE,12 avenue Saint-Symphorien,,56000,VANNES
75.000.1765,1765,PERSONNES MALADES ET/OU HANDICAPEES PSYCHIQUES (UNAFAM),UNION NATIONALE DE FAMILLES ET AMIS DE,"Regrouper sur le plan national des familles de malades mentaux dans un but d'entraide, de formation et de défense commune de leurs intérêts.",15/05/1968,22/06/2009,18000 services medico-sociaux,SIEGE,"12, Villa Compoint",,75007,PARIS
75.000.1766,1766,HEMOPHILES (AFH),ASSOCIATION FRANCAISE DES,"Compenser, à l'égard des hémophiles, les inconvénients de la maladie et les aider à mener une vie normale.",15/05/1968,12/07/2002,17000 santé,SIEGE,,,75005,PARIS CEDEX 15
63.000.1768,1768,"SOCIETE D'HORTICULTURE, DE VITICULTURE ET D'ETUDES AGRONOMIQUES DU PUY-DE-DOME",,"Amélioration des jardins, vergers et vignes et vulgarisation des fleurs, légumes, fruits, cépages et produits annexes.  Étude de toutes les questions agronomiques.",20/12/1917,,23000 intérêts économiques,SIEGE,Centre Jean Richepin,"21, rue Jean Richepin",63000,CLERMONT-FERRAND
69.000.1769,1769,ASILE DE MORLOT,ASSOCIATION DE L',"Hospitaliser des vieillards pauvres, convalescents à titre temporaire ou pensionnaires à vie appartenant à la religion protestante.",21/08/1907,,17000 santé,SIEGE,"53, rue Pierre Baizet CP 405",,69338,LYON CEDEX 09
69.000.1770,1770,INTERNAT DES HOSPICES CIVILS DE LYON,ASSOCIATION GENERALE DE L',"Conserver les traditions de l'internat et en soutenir les œuvres, resserrer et perpétuer les liens de camaraderie et d'amitié entre les internes, faciliter une entraide morale, professionnelle et éventuellement matérielle.",27/11/1930,18/06/1997,17000 santé,SIEGE,Internat de l'Hôpital Edouard Herriot,"5, place d'Arsonval",69437,LYON CEDEX 03
75.000.1771,1771,DON D'ORGANES ET DE TISSUS HUMAINS (FRANCE ADOT),FEDERATION  FRANCAISE POUR LE,Susciter et  promouvoir l'information en vue des prélèvements d'organes et de tissus humains et  favoriser ainsi l'esprit de solidarité et de fraternité humaines.,13/02/1978,17/09/2008,17000 santé,SIEGE,Hôpital Saint-Louis,"1, avenue Claude Vellefaux",75016,PARIS
76.000.1772,1772,SOCIETE LIBRE D'EMULATION DE LA SEINE-MARITIME,,"L'étude des sciences, des lettres et des arts, le développement du commerce et de l'industrie et la défense des intérêts moraux de la région.",28/04/1851,,08 Culture et sciences,SIEGE,Hôtel des Sociétés savantes,"190, rue Beauvoisine",76000,ROUEN
75.000.1773,1773,RAHLA - AMICALE DES SAHARIENS,LA,Développer les relations de camaraderie et d'entraide entre tous ceux qui ont consacré ou consacrent tout ou partie de leur activité au Sahara.,13/06/1968,27/03/2008,14000 amicales groupts affinit,SIEGE,"116, rue Damrémont",,75270,PARIS
75.000.1774,1774,ECOLE MILITAIRE DE L'AIR,ASSOCIATION DES A.E. DE L',Maintenir et de développer entre ses membres les liens de camaraderie et de solidarité qui se sont crées à l'école ou en unité.,20/06/1968,,"38000 armée, anc combattants",SIEGE,"26, boulevard Victor",BP 76,75017,PARIS CEDEX 15
35.000.1775,1775,POUR PERPETUER L'ESPRIT DE LIBERTE AR ZENITH,ASSOCIATION,"Restaurer intégralement le « dundee » Ar Zénith, ancien courrier de l’île de Sein, premier navire civil français à répondre le 19 juin 1940 à l’appel du Général de Gaulle ;  l’aménager en musée fixe de la France libre et de la Résistance ; en faire réaliser une réplique et d’exploiter cette réplique en tant que musée itinérant de la France libre et de la Résistance.",09/07/2003,,10000 préservation patrimoine,SIEGE,Cale des Torpilleurs - Solidor,Saint-Servan,35400,SAINT-MALO
75.000.1776,1776,CENTRE ETIENNE MARCEL,ASSOCIATION DU,"Créer et gérer un ou des centre(s) de prise en charge médicale, psychothérapique d'inspiration psychanalytique, éducative et psychopédagogique, ainsi que d'effectuer toutes opérations se rattachant direct ou indirect à cet objet.",19/07/1968,18/06/1997,17000 santé,SIEGE,"3, cité d'Angoulême",,75008,PARIS
25.000.1777,1777,SOCIETE PROTECTRICE DES ANIMAUX DE BESANCON ET DE FRANCHE-COMTE,,Protéger et améliorer le sort des animaux dans le département du Doubs et la Franche-Comté.,05/07/1968,17/07/2008,24000 environnement,SIEGE,Hôtel de Ville,Place du 8 septembre,25000,BESANÇON
75.000.1778,1778,COMITE DE LUTTE CONTRE LE GLAUCOME,,"Faire connaître au corps médical, au corps pharmaceutique et au grand public les problèmes du glaucome.",23/07/1985,,17000 santé,SIEGE,"7, rue Pierre Larousse",,75005,PARIS CEDEX 14
75.000.1779,1779,CINEMA ET VIDEO (FFCV),FEDERATION  FRANCAISE DE,"La FFCV a pour objet, dans le cadre des activités de loisirs, la création, le développement et la promotion des Arts et Techniques de l'image animée "" Cinéma et Vidéo "" sur tous les formats substandards et supports appropriés.",04/10/2007,,06000 culture,SIEGE,"53, rue Clisson",,75006,PARIS
73.000.1780,1780,SOCIETE D'HISTOIRE NATURELLE DE LA SAVOIE,,Concourir au progrès de l'histoire naturelle en Savoie par la création et l'entretien d'un musée et d'un jardin des plantes à Chambéry.,19/10/1844,,08 Culture et sciences,SIEGE,"208, avenue de Lyon",B.P. 844,73008,CHAMBERY
75.000.1781,1781,PUERICULTRICES DIPLOMEES ET DES ETUDIANTES (ANPDE),ASSOCIATION NATIONALE DES,"Grouper les puéricultrices diplômées d'état résidant en France ou à l'étranger afin d'assurer leur liaison,  définir les activités de la profession et  protéger le titre de puéricultrice.",24/10/1968,19/09/2013,17000 santé,SIEGE,"132, avenue du Général  Leclerc",,75008,PARIS
72.000.1782,1782,"SOCIETE D'AGRICULTURE, SCIENCES ET ARTS DE LA SARTHE",,Un centre d'humanisme au Mans et dans le département de la Sarthe où elle constitue un foyer régional d'études et de recherches.,24/10/1968,,08 Culture et sciences,SIEGE,"Médiathèque Louis Aragon - 54, rue du Port",,72015,LE MANS CEDEX
06.000.1783,1783,TRANSFUSION SANGUINE,ASSOCIATION REGIONALE DE LA,Développer et faciliter dans les départements des Alpes-Maritimes et de la Corse l'usage thérapeutique du sang humain sous toutes ses formes.,24/10/1968,14/11/1983,17000 santé,SIEGE,avenue du Docteur Maurice Donat,,06721,SAINT-LAURENT-DU-VAR CEDEX
29.000.1784,1784,SOCIETE POUR L'ETUDE ET LA PROTECTION DE LA NATURE EN BRETAGNE,,"Sauvegarder la faune et la flore naturelles en même temps que les milieux dont elles dépendent (roches, paysages, sols et eaux).",06/03/1979,09/04/1999,24000 environnement,SIEGE,"186, rue Anatole France",BP 32,29276,BREST CEDEX
92.000.1785,1785,ECOLE DE L'AIR,ASSOCIATION DES A.E. DE L',Contribuer à maintenir et à améliorer la place de l'école dans le pays et dans l'armée.,29/10/1968,06/10/2014,"38000 armée, anc combattants",SIEGE,"3, rue Nationale",,92100,BOULOGNE-BILLANCOURT
92.000.1787,1787,INSTITUT DE CINEMATOGRAPHIE SCIENTIFIQUE (ICS),,"Encourager la réalisation, la diffusion et la conservation des films scientifiques.",12/12/1968,22/10/1996,06000 culture,SIEGE,,,92195,MEUDON CEDEX
75.000.1788,1788,OFFICE CENTRAL DE LA COOPERATION A L'ECOLE (OCCE),,"Favoriser, dans les écoles et les établissements d'enseignement public, la création de coopératives scolaires.",03/12/1968,12/12/2013,15000 éducation formation,SIEGE,,,75005,PARIS
75.000.1789,1789,POUR LES FAMILLES PASTORALES,ASSOCIATION,Contribuer au frais d'éducation des enfants des ministres du culte protestant qui sont au service d'une association.,13/07/1923,01/12/1993,10 Religion,SIEGE,"47, rue de Clichy",,75116,PARIS CEDEX 09
75.000.1790,1790,COMEDIENS COMBATTANTS,ASSOCIATION DES,Resserrer les liens de bonne confraternité et de solidarité entre tous les comédiens ayant combattu effectivement pendant la guerre 1914-1918.,22/11/1925,26/03/1981,"38000 armée, anc combattants",SIEGE,"81, rue de Rome",,75007,PARIS
95.000.1792,1792,CLUB ISAMBERT,ASSOCIATION D'ANCIENS CHEFS DE  CLINIQUE O.R.L. DE PARIS,Rassembler d'anciens chefs de clinique O.R.L. de Paris afin  de promouvoir le développement scientifique de l'otorhino-laryngologie.,27/07/1977,,17000 santé,SIEGE,Centre hospitalier Emile Roux,,95600,EAUBONNE
75.000.1793,1793,ŒUVRES ET ORGANISMES PRIVES SANITAIRES ET SOCIAUX (UNIOPSS),UNION NATIONALE INTERFEDERALE DES,"Grouper l'ensemble des œuvres et organismes privés sanitaires, sociaux et culturels à but non lucratif.",08/03/1972,02/10/2008,18000 services medico-sociaux,SIEGE,"15, rue Albert",CS 21306,75015,PARIS CEDEX 13
36.000.1794,1794,ACADEMIE DU CENTRE,,"Favoriser dans le Berry et le centre de la France, le développement de la culture intellectuelle sous toutes ses formes.",09/08/1972,,16000 recherche,SIEGE,"32, rue Vieille Prison",,36000,CHATEAUROUX
75.000.1795,1795,SOCIETE DES EXPLORATEURS ET DES VOYAGEURS FRANCAIS,,"Développement de l'exploration française sous toutes ses formes, et notamment par la facilité qu'elle donne à ses adhérents.",11/09/1972,,07000 clubs de loisirs,SIEGE,"184, Boulevard Saint Germain",,75001,PARIS
75.000.1796,1796,SOCIETE D'HISTOIRE LITTERAIRE DE LA FRANCE,,"Fournir aux personnes qui s'intéressent à l'histoire de la littérature française des moyens de se réunir d'échanger leurs idées, de profiter en commun des recherches individuelles, d'unir leurs efforts et de grouper leurs travaux.",19/09/1972,26/03/1981,08 Culture et sciences,SIEGE,"112, rue Monge",BP 173,75005,PARIS
94.000.1797,1797,DEFENSE DE LA SANTE MENTALE DANS LA REGION EST DE PARIS,UNION POUR LA,"Rechercher et mettre en œuvre tous moyens propres à améliorer du point de vue psychique & psychologique , les conditions d'existence des personnes domiciliées ou en résidence, dans le département 94 & les départements limitrophes.",19/09/1972,18/06/1997,17000 santé,SIEGE,"17, boulevard Henri ruel",,94120,FONTENAY-SOUS-BOIS
11.000.1798,1798,SOCIETE NARBONNAISE POUR LA PROTECTION DES ANIMAUX,,D'améliorer le sort des animaux sous toutes les formes et par tous les moyens.,28/09/1972,,24000 environnement,SIEGE,"55, rue Droite",,11100,NARBONNE
50.000.1799,1799,AMIS DE PONTIGNY-CERISY,ASSOCIATION DES,Favoriser les valeurs intellectuelles et artistiques et  développer les échanges entre intellectuels et artistes de tous pays.,28/09/1972,28/03/1977,06000 culture,SIEGE,Château,,50210,CERISY-LA-SALLE
75.000.1801,1801,CONSEIL INTERNATIONAL DE LA LANGUE FRANCAISE,,"La sauvegarde et l'unité de la langue française dans le monde, elle rassemble à cet effet des linguistes, des grammairiens, des chroniqueurs de langage.",20/12/1972,,08 Culture et sciences,SIEGE,"11, rue de Navarin",,75009,PARIS
75.000.1803,1803,COMITE D'ACTION SOCIALE EN FAVEUR DES ORIGINAIRES DES DEPARTEMENTS D'OUTRE-MER EN METROPOLE,,Aide aux originaires des départements d'Outre-Mer.,04/01/1973,,14000 amicales groupts affinit,SIEGE,"7 bis, rue du Louvre",,75001,PARIS
01.000.1804,1804,INFIRMIERS PSYCHIATRIQUES,GROUPE D'ETUDES ET DE RECHERCHES DES,"Favoriser l'évolution et le perfectionnement des infirmiers et infirmières psychiatriques par des rencontres, des congrès, des colloques.",02/03/1973,01/08/1979,17000 santé,SIEGE,"17, rue Xavier Privas",,01000,BOURG-EN-BRESSE
33.000.1805,1805,CAISSE DE SECOURS MUTUELS DE BORDEAUX,,Offrir aux classes peu fortunées les moyens de vivre sans recourir aux secours de la charité publique. Cette association est devenue une société mutualiste depuis 1945 et échappe à la loi de 1901.,07/07/1845,,22000 activités économiques,SIEGE,"114, rue du Palais",,33806,BORDEAUX
65.000.1806,1806,MUSEE INTERNATIONAL DES HUSSARDS,ASSOCIATION DES AMIS DU,Enrichir et mieux faire connaître et aimer les collections du Musée. Grouper autour du musée les amateurs d'histoire militaire et d'une manière générale rendre plus intense le goût pour l'histoire militaire et notamment celle des Hussards.,23/03/1973,,"38000 armée, anc combattants",SIEGE,Musée Massey,,65000,TARBES
59.000.1807,1807,"LAIQUE POUR L'EDUCATION, LA FORMATION, LA PREVENTION ET L'AUTONOMIE (ALEFPA)",ASSOCIATION,"L'enseignement, l'éducation et la rééducation de l'enfance et de l'adolescence physiquement, mentalement ou socialement handicapées.",11/04/1973,03/12/2002,15000 éducation formation,Siège,Centre Vauban - Batiment Lille,"199/201, rue Colbert
B.P. 72",59003,LILLE CEDEX
75.000.1808,1808,SOCIETE FRANCAISE D'HISTOIRE DE LA MEDECINE,,"Étudier l'histoire de la médecine et des sciences qui s'y rattachent, considérées aux divers points de vue de l'évolution des doctrines et des institutions, de la biographie et des recherches documentaires.",11/04/1973,10/07/2002,08 Culture et sciences,SIEGE,"12, rue de l'école de Médecine",,75006,PARIS
61.000.1809,1809,SOCIETE DU MANOIR D'ARGENTELLES,,Gérer le manoir d'Argentelles et ses annexes ; en assurer la restauration et la conservation.,23/05/1973,28/10/1975,08 Culture et sciences,SIEGE,Château de Champobert,,61310,VILLE-BADIN
75.000.1810,1810,AERONAUTIQUE ET DE L'ESPACE - LES VIEILLES RACINES,ASSOCIATION DES PROFESSIONNELS ET AMIS DE L',Établir un centre de relations amicales entre tous les professionnels de l'aviation et de l'espace.,23/05/1973,02/07/1997,07000 clubs de loisirs,SIEGE,"F.N.A. 155, avenue de Wagram",,75015,PARIS
49.000.1811,1811,SOCIETE PROTECTRICE DES ANIMAUX AUTONOME DU MAINE-ET-LOIRE,,Recueillir les animaux trouvés errants sur la voie publique; intervenir auprès des propriétaires qui maltraitent leurs animaux,16/04/2009,05/10/2010,24000 environnement,SIEGE,Centre d'accueil des animaux,Promenade de la Baumette,49000,ANGERS
59.000.1813,1813,CHIENS GUIDES D'AVEUGLES - CENTRES PAUL CORTEVILLE,,"Développer les qualités physiques et morales ainsi que les aptitudes spéciales des chiens de berger, vulgariser l'emploi de ces chiens et en faire des guides pour les aveugles.",10/08/1973,24/02/2009,18000 services medico-sociaux,SIEGE,B.P. 60088,,59435,RONCQ CEDEX
75.000.1814,1814,CAMPING ET CARAVANING (FFCC),FEDERATION  FRANCAISE DE,Concourir à l'organisation au contrôle et développement de la pratique du camping et du caravaning.,09/08/1973,07/03/2014,34000 tourisme,SIEGE,,,75008,PARIS
75.000.1815,1815,DONNEES ECONOMIQUES ET SOCIALES (CIDES),CENTRE INTERNATIONAL DE,Rassembler l'ensemble des documentations et des données économiques et sociales à l'échelon international en établissant les contacts nécessaires Rappel - NPAI.,29/08/1973,,22000 activités économiques,SIEGE,"55, avenue Kleber",,75007,PARIS
75.000.1816,1816,FEDERATION DES APAJH,FEDERATION  DES ASSOCIATIONS POUR ADULTES ET JEUNES HANDICAPES,"Regrouper les associations ou organismes affiliés, ainsi que des personnes physiques œuvrant pour les personnes handicapées.",13/05/1974,05/07/2012,18000 services medico-sociaux,SIEGE,"33, avenue du Maine",,75018,PARIS CEDEX 15
